city,timestamp,temperature,season
New York,2010-01-01,6.36688626452098,winter
New York,2010-01-02,-2.252415335546721,winter
New York,2010-01-03,-3.57281866157334,winter
New York,2010-01-04,-0.45204497962785645,winter
New York,2010-01-05,-4.495680600382759,winter
New York,2010-01-06,-12.82415872125322,winter
New York,2010-01-07,2.891609320065818,winter
New York,2010-01-08,2.717999866381658,winter
New York,2010-01-09,3.082814740426399,winter
New York,2010-01-10,4.038658731630467,winter
New York,2010-01-11,4.9782363279721675,winter
New York,2010-01-12,-4.112703982408821,winter
New York,2010-01-13,-6.057929917046279,winter
New York,2010-01-14,9.606925264337315,winter
New York,2010-01-15,-3.422768017971323,winter
New York,2010-01-16,0.5838303104207633,winter
New York,2010-01-17,3.811868449876844,winter
New York,2010-01-18,-1.0690411485429938,winter
New York,2010-01-19,-0.9918183175431505,winter
New York,2010-01-20,1.8142217329549262,winter
New York,2010-01-21,3.78858659395144,winter
New York,2010-01-22,0.023607220325577754,winter
New York,2010-01-23,7.482446692153527,winter
New York,2010-01-24,-1.1147343288752785,winter
New York,2010-01-25,4.830248040434933,winter
New York,2010-01-26,-1.2591981917829047,winter
New York,2010-01-27,0.8879090480125864,winter
New York,2010-01-28,5.805975059061708,winter
New York,2010-01-29,1.2839923019663135,winter
New York,2010-01-30,-9.291500593437576,winter
New York,2010-01-31,1.1693739928218692,winter
New York,2010-02-01,0.1032364661730869,winter
New York,2010-02-02,6.8350657925457945,winter
New York,2010-02-03,3.2015115390333175,winter
New York,2010-02-04,-2.863593721560843,winter
New York,2010-02-05,4.047964717885527,winter
New York,2010-02-06,0.6157550720096757,winter
New York,2010-02-07,-4.347940443297032,winter
New York,2010-02-08,4.333773514328349,winter
New York,2010-02-09,1.9407674734956315,winter
New York,2010-02-10,1.3615697733979435,winter
New York,2010-02-11,-1.2513617960508068,winter
New York,2010-02-12,-10.743696390474494,winter
New York,2010-02-13,5.925901152893388,winter
New York,2010-02-14,6.578326588737582,winter
New York,2010-02-15,-2.6333387514212,winter
New York,2010-02-16,3.969147714859804,winter
New York,2010-02-17,-6.9430320227416065,winter
New York,2010-02-18,2.3834843399215586,winter
New York,2010-02-19,-1.1887612432284587,winter
New York,2010-02-20,-0.5520149149295197,winter
New York,2010-02-21,0.8261772131318673,winter
New York,2010-02-22,-12.829256185112056,winter
New York,2010-02-23,1.519748878994798,winter
New York,2010-02-24,-2.2459805723941924,winter
New York,2010-02-25,0.8287126357678796,winter
New York,2010-02-26,5.4552061951526305,winter
New York,2010-02-27,3.0146218728977563,winter
New York,2010-02-28,-1.7172067235364743,winter
New York,2010-03-01,8.45547943671187,spring
New York,2010-03-02,17.264665174862014,spring
New York,2010-03-03,3.3872462378382213,spring
New York,2010-03-04,10.705962286527331,spring
New York,2010-03-05,1.490237131655178,spring
New York,2010-03-06,10.689705819630488,spring
New York,2010-03-07,4.944074793529692,spring
New York,2010-03-08,12.795815282461042,spring
New York,2010-03-09,2.5116284634540413,spring
New York,2010-03-10,10.053050232935224,spring
New York,2010-03-11,10.261320243315126,spring
New York,2010-03-12,17.827506136977078,spring
New York,2010-03-13,10.945583602297498,spring
New York,2010-03-14,4.043642068547583,spring
New York,2010-03-15,-4.478731293726522,spring
New York,2010-03-16,10.937953356609457,spring
New York,2010-03-17,10.984512258903248,spring
New York,2010-03-18,4.9660651110608525,spring
New York,2010-03-19,12.534786389064616,spring
New York,2010-03-20,8.250502260967773,spring
New York,2010-03-21,13.072241256448951,spring
New York,2010-03-22,7.477446934679159,spring
New York,2010-03-23,9.448544210510894,spring
New York,2010-03-24,8.505707912564331,spring
New York,2010-03-25,7.811429219031076,spring
New York,2010-03-26,18.42365731324033,spring
New York,2010-03-27,16.857018896619977,spring
New York,2010-03-28,10.858602515809203,spring
New York,2010-03-29,7.187405951704385,spring
New York,2010-03-30,7.238897278925474,spring
New York,2010-03-31,13.702108319618732,spring
New York,2010-04-01,13.113148377312232,spring
New York,2010-04-02,8.383744371097373,spring
New York,2010-04-03,14.24246421690675,spring
New York,2010-04-04,10.728531800617358,spring
New York,2010-04-05,7.947315467358445,spring
New York,2010-04-06,10.066503899586872,spring
New York,2010-04-07,14.30472523384437,spring
New York,2010-04-08,14.762854105884362,spring
New York,2010-04-09,17.914908976163566,spring
New York,2010-04-10,11.958113897854656,spring
New York,2010-04-11,8.706738906484523,spring
New York,2010-04-12,9.500028868985076,spring
New York,2010-04-13,16.272487499242576,spring
New York,2010-04-14,19.817739787181054,spring
New York,2010-04-15,9.829205223222246,spring
New York,2010-04-16,8.491060865629176,spring
New York,2010-04-17,16.215477126062005,spring
New York,2010-04-18,8.600744562464929,spring
New York,2010-04-19,13.784891527716866,spring
New York,2010-04-20,12.058205990600083,spring
New York,2010-04-21,5.303090848777584,spring
New York,2010-04-22,13.545460276952317,spring
New York,2010-04-23,9.115295280730606,spring
